formal,slang
"Hey, did you finish your homework yet?","Yo, did you wrap up your homework yet?"
I'm just trying to relax after a long day at work.,I'm just vibing and chilling after a long grind.
"I'm really tired today, I think I'll stay home and relax.","I'm mad drained today, gonna chill at home and vibe."
I'm just really tired today and feel like staying in bed all day.,I'm死ass drained today and just wanna stay in bed all day lol
"I'm really tired today, but I still have to go to work.","I'm mad drained today, but I still gotta clock in."
"Hey, I just got back from the store and I'm super tired.","Yo, I just dipped from the store and I'm totally wiped, fr."
I'm really tired today because I woke up early.,I'm really tired today cuz I woke up early.
"Hey, I forgot my phone at home today.","Yo, I left my phone at home today, fr."
I'm just really tired today because I stayed up way too late last night.,I'm just really tired today cuz I stayed up way too late last night.
"I'm really tired today, so I think I'll just relax and watch some movies.","I'm totally drained today, so I just wanna chill and binge-watch some flicks."
I'm just going to chill at home all day.,I'm just gonna vibe at home all day. 🤙
"Hey, do you want to grab coffee after work?","Yo, wanna hit up some coffee after work?"
"Hey, I found a really cool new cafe downtown.","Yo, just dived into this sick new spot downtown, it's fire!"
"Hey, have you seen my phone? I can't find it anywhere.","Yo, have you peeped my phone? It's ghosting me, can't find it anywhere lol."
I'm just hanging out with friends at the park.,I'm just vibing with my friends at the park.
"Hey, do you want to go watch a movie tonight?","Yo, you tryna vibe and catch a flick tonight?"
"Hey, did you see the new poster in the hallway?","Yo, peep the fresh poster in the hall, did ya spot it?"
I'm really tired after the long day at school.,I'm absolutely drained after that long school grind.
"Hey, did you see the new episode of the show last night?","Yo, did you peep the new ep of the show last night?"
"Hey, do you want to go get some coffee later?","Yo, wanna hit up some coffee later?"
"Hey, I thought I might grab a snack before heading out.","Yo, I'm litty and might snag a snack before bouncing."
I'm just going to grab some coffee before heading to school.,I'm just gonna grab some coffee before heading to school.
I'm just trying to finish my homework before I go out with my friends.,I'm just tryna wrap up my homework before I dip with my squad.
I'm really tired today and don't want to go to the party.,I'm really tired today and don't wanna go to the party.
I'm going shopping at the mall this afternoon.,"I'm hitting the mall later, fr fr."
I'm tired because I stayed up late last night.,I'm tired cuz I stayed up late last night.
How are you feeling today?,"Yo, how you vibin' today?"
"Hey, I'm really tired today because I didn't sleep well last night.","Hey, I'm really tired today cuz I didn't sleep well last night."
I think we should grab some coffee later.,"Yo, we should peep some coffee later, fr fr."
"Hey, did you see the new movie that came out last night?","Yo, did ya catch the new flick that dropped last night?"
I'm feeling really tired after such a long day.,"I'm deadass drained after this whole day, no cap."
"Hey, I just got back from shopping and found some really cool shoes.","Yo, just hit the mall and scored some sick kicks!"
"Hey, have you seen the new movie that just came out?","Yo, have you peeped the new flick that just dropped?"
"I really like your new backpack, it looks great!","Your new backpack's totally vibing, looks sick!"
I'm really tired after my long day at work.,I'm hella drained after grindin' all day at work.
I can't believe how quickly the pizza was delivered!,"No cap, the pizza got here lightning fast!"
I'm really tired today after a long day at work.,I'm mad drained after a looong day at the 9 to 5.
I'm just really tired today and don't want to do anything.,I'm just really tired today and don't wanna do anything.
I'm feeling really tired today after working all day.,"I'm worn out after grinding all day, fr fr."
"Hey, can you help me move this weekend?","Yo, can you gimme a hand with moving this weekend? It's gonna be a whole vibe!"
"Hey, can you help me with my homework?","Yo, can you peep my homework real quick?"
I'm going shopping for groceries later.,Gonna hit the store for some snacks later fam.
I'm so tired after school today.,"I'm mad drained after school today, no cap."
I'm really tired today because I stayed up way too late last night.,"I'm totally drained today 'cause I was up all night yesterday, no cap."
"I'm really tired today, I just want to relax and watch some movies.","I'm really tired today, I just wanna relax and watch some movies."
I'm just chilling at home and listening to some music.,"I'm vibing at home, spinning some tunes. LOL"
I'm just really tired today and feeling pretty unmotivated.,I'm super drained today and totally lowkey not feeling it.
I'm so tired today because I stayed up late studying.,I'm so tired today cuz I stayed up late studying.
"I really like this new song, it's so good!","This new jam is fire, I'm obsessed!"
"Hey, do you want to grab lunch together?","Yo, wanna hit up lunch together?"
I just finished my homework and I feel pretty tired.,"Just wrapped up my homework, and I'm totally drained, no cap."
I'm just going to relax and watch some shows today.,"I'm just gonna chill and binge some shows today, no cap."
I'm feeling really tired today because I didn't sleep well last night.,I'm hella drained today 'cause I was up all night grindin' without rest.
"I'm really tired after working all day, so I just want to relax now.","I'm really tired after working all day, so I just wanna relax now."
"Hey, do you want to hang out later and watch a movie?","Yo, wanna chill later and catch a flick?"
"Hey, I'm really tired today and just want to relax at home.","Hey, I'm really tired today and just wanna relax at home."
I'm going to the grocery store to buy some snacks.,I'm gonna the grocery store to buy some snacks.
I'm just casually hanging out with my friends at the park.,"Just vibing with my squad at the park, no cap."
"I'm really tired today, I think I need some sleep.","I'm mad drained today, lowkey need a nap ASAP."
I'm really excited about the party tonight!,I'm so hyped for the bash tonight!
"Hey, do you want to hang out today?","Yo, wanna chill today? 💥"
"Hey, I just got back from the store and I found some awesome snacks!","Yo, just hit the store and snagged some fire snacks! 😎"
I'm just going to relax at home and watch some shows tonight.,I'm just gonna relax at home and watch some shows tonight.
I'm just going to chill at home today and watch some movies.,I'm just gonna chill at home today and watch some movies.
I'm just really tired today and feeling lazy.,I'm lowkey exhausted today and vibing in chill mode.
"Hey, can you help me with my homework later?","Yo, can you spot me on my homework later?"
I just got home from school and I'm really tired.,Just slid back home from school and I'm dead exhausted.
I'm just casually hanging out with my friends after school.,I'm just vibing with my friends after class.
"Hey, did you watch the new movie last night?","Yo, did y'all catch the new flick last night?"
"Hey, did you watch that new movie last night?","Yo, peep that new flick last night?"
I'm just relaxing at home and binge-watching my favorite series.,"Chillin' at my place, bingeing my fave series, no cap."
"I'm really tired today, so I think I'll just relax at home.","I'm super wiped today, so I'm just chillin' at home."
I'm really tired today after working all day.,"I'm lowkey beat after grinding all day, fr."
I'm just really tired today because I stayed up late last night.,I'm mad tired today 'cause I lowkey stayed up all night.
"Hey, I just finished my homework and I'm so tired.","Yo, I just wrapped my homework and I'm hella whipped."
I'm just chilling at home and scrolling through my phone.,I'm just vibing at home and scrolling my feed.
I'm just really tired today and want to relax at home.,I'm totally🥱 today and just wanna chill at home.
I'm really excited to see my friends this weekend.,I'm super hyped to kick it with my squad this weekend!
"Hey, do you wanna hang out this weekend?","Yo, you tryna vibe this weekend?"
I'm just going to grab some food and relax at home tonight.,I'm just gonna grab some food and relax at home tonight.
"I'm really tired after the long day, so I think I'll just relax at home.","I'm hella wiped from today, so I'm just gonna chill at home."
I'm thinking about going to the park later to relax.,I'm thinking about gonna the park later to relax.
I'm just really tired today and want to relax.,I'm totally drained today and just wanna chill.
I'm just hanging out with friends at the park today.,"Yo, just chillin' with my crew at the park today, no cap."
"Hey, do you want to grab a coffee after school?","Yo, wanna slide out for some coffee after class?"
I'm just going to go for a walk in the park to clear my head.,I'm just gonna go for a walk in the park to clear my head.
I'm just going to chill at home all day today.,"I'm just gonna veg out at home all day today, no cap."
I'm just really tired today and I don't want to do anything.,I'm just really tired today and I don't wanna do anything.
I'm really excited for the new movie tonight.,I'm super pumped for the new flick tonight!
I'm just going to chill with my friends this afternoon.,I'm just gonna chill with my friends this afternoon.
"Hey, I just finished my homework and I am so tired.","Yo, just copped my homework and I'm deadass drained."
I'm just going to relax and watch some movies tonight.,I'm just gonna relax and watch some movies tonight.
I'm just taking a walk in the park to clear my mind.,"I'm just vibing through the park to clear my head, no cap."
I'm really excited about my upcoming trip to the beach.,"I'm sooo hyped for my trip to the beach, it's gonna be lit!"
I'm just really tired today and feeling a bit down.,"I'm kinda dead today and mood's kinda off, fr."
I'm just chillin' at home after a long day.,"I'm just vibing at home after a long day, no cap."
"Hey, did you hear about the new music app that just came out?","Yo, did y'all peep the new music app that dropped?"
Can you help me with my homework later?,"Yo, can you peep my homework later?"
"Hey, do you want to grab a coffee today?","Yo, wanna hit up Starbucks today?"
"Hey, do you want to hang out at the park this afternoon?","Yo, wanna vibe at the park later?"
"Hey, want to grab lunch together later?","Yo, wanna catch some lunch later?"
I'm really tired today because I stayed up late watching shows.,I'm really tired today cuz I stayed up late watching shows.
I'm really tired today and I just want to relax.,"I'm so wiped today, just tryna chill and vibe."
I'm just heading to the grocery store to pick up some stuff.,I'm just dashing to the store to grab some snacks and stuff.
"I'm feeling really tired today, so I think I'll stay home and relax.","I'm super drained today, so I'm just chillin' at home and vibing out."
"I'm feeling really tired today, so I might just stay in and relax.","I'm super drained today, so I'm just gonna chill at home and vibing."
I'm really tired today because I didn't get much sleep last night.,I'm really tired today cuz I didn't get much sleep last night.
"Hey, do you want to grab pizza tonight?","Yo, wanna snag some pizza tonight? Let's fucc it up!"
I'm just chilling at home and watching some videos.,"I'm just vibing at home, scrolling through vids."
I'm so tired because I stayed up late last night.,I'm so tired cuz I stayed up late last night.
I'm just tired today because I didn't get enough sleep.,I'm hella drained today 'cause I didn't catch enough Z's.
"Hey, I think I'm going to grab some coffee after work.","Hey, I think I'm gonna grab some coffee after work."
I'm going to grab some food before I head out.,I'm gonna grab some food before I head out.
"Hey, I just saw a really cool movie last night.","Yo, I peeped a lit flick last night!"
I'm really tired today and just want to stay home and relax.,I'm mad exhausted today and just wanna chill at home LOL.
I'm really tired today and just want to relax after work.,"I'm hella worn out today and just wanna chill after work, fr."
I'm just going to relax and watch some YouTube videos tonight.,I'm just gonna relax and watch some YouTube videos tonight.
I'm going to the mall later to hang out with my friends.,I'm gonna the mall later to hang out with my friends.
"Hey, did you see the new movie that everyone is talking about?","Yo, did you peep that new flick everyone's lowkey vibing with?"
I'm going to grab some coffee later with a friend.,I'm gonna grab some coffee later with a friend.
"Hey, I just finished my homework and I'm feeling pretty good about it.","Yo, just wrapped up my homework and vibe check is high 🆒!"
"Hey, do you want to hang out after school today?","Hey, do you wanna hang out after school today?"
"Hey, do you want to grab a coffee after class?","Yo, wanna snag a coffee after class?"
I'm just going to grab some coffee before I start working.,I'm just gonna grab some coffee before I start working.
"Hey, did you see that new movie everyone was talking about?","Yo, did you peep that new flick everyone's vibing with?"
"I'm really tired today, so I think I'll just stay in and relax.","I'm totally wiped today, so I'm gonna chill at home and vibing."
"I'm really tired today, I just want to relax and chill out.","I'm super drained today, just wanna kick back and veg out."
I just finished my homework and I'm ready to relax.,"Just knocked out my homework, now I'm chillin' and vibin'."
"Hey, want to grab some coffee later?","Hey, wanna grab some coffee later?"
"Hey, I just got back from the store and I'm really tired.","Yo, just hit the store and I'm totally drained rn."
I'm so tired after studying all day.,I'm deadass exhausted after grinding all day.
"Hey, are you busy this weekend?","Yo, you free this weekend or what?"
I'm going to hang out with my friends tomorrow.,I'm gonna hang out with my friends tomorrow.
I'm really tired after staying up late last night.,"I'm hella drained 'cause I stayed up all night, fr fr."
I'm really excited to meet up with my friends later.,I'm so hyped to link up with my squad later!
I'm just really tired today and need to relax.,I'm mad chillin' today 'cause I'm hella drained and just wanna kick back.
"I'm just chilling at home, watching some TV.","I'm just vibing at home, Netflix and chillin'."
I think I'm going to skip the party tonight.,I think I'm gonna skip the party tonight.
I'm just going to relax at home all day today.,I'm just gonna relax at home all day today.
I'm just chilling with my friends at the park.,I'm just vibing with my crew at the park.
"I'm really tired today, so I'm just going to relax at home.","I'm totally wiped today, so I'm just gonna chill at home."
"Hey, I was just thinking about meeting up later if you're free.","Yo, was just poppin' about linking up later if you're down."
I'm just trying to get some sleep before my exam tomorrow.,I'm just tryna catch some Z's before my test tomorrow.
I'm just going to grab some coffee and then go for a walk.,I'm just gonna grab some coffee and then go for a walk.
I'm going to grab a coffee with my friends this afternoon.,I'm gonna grab a coffee with my friends this afternoon.
I'm really excited about the concert tomorrow.,I'm super hyped for the concert tomorrow!
"Hey, I'm just going to grab some coffee before work.","Hey, I'm just gonna grab some coffee before work."
I'm really excited for the weekend plans.,"Yo, I'm sooo hyped for the weekend vibes!"
I'm just trying to get through today without any problems.,"I'm just vibing through today, no cap, no stress."
"Hey, do you want to grab lunch today?","Hey, do you wanna grab lunch today?"
I'm feeling pretty tired today.,"I'm mad vibing with exhaustion today, no cap."
"Hey, do you want to hang out with me later?","Yo, wanna dip and vibe with me later?"
"Hey, did you see the new movie tonight?","Yo, did you peep the new flick tonight?"
I'm so excited for the weekend with my friends.,I'm mega hyped for the weekend with my squad!
I'm just going to grab a coffee before heading to work.,I'm just gonna grab a coffee before heading to work.
I'm just casually relaxing at home and binge-watching a new show.,I'm just chillin' at home and binge-watching some fresh new series.
I'm just going to relax and watch some videos later.,I'm just gonna relax and watch some videos later.
"Hey, I just finished my last class for the day.","Yo, just wrapped up my last class for the day, fr fr!"
I'm just really tired today.,I'm lowkey drained today.
I'm pretty tired today because I didn't sleep well last night.,I'm pretty tired today cuz I didn't sleep well last night.
I'm going to grab some coffee and then meet my friends at the park.,I'm gonna grab some coffee and then meet my friends at the park.
I'm going to grab some coffee before heading to the mall.,I'm gonna grab some coffee before heading to the mall.
I'm really tired today and just want to nap all afternoon.,I'm hella exhausted today and just wanna crash all arvo.
I'm just really tired after a busy day.,"I'm straight-up drained after a wild day, no cap."
"Hey, do you want to grab some food after school?","Yo, wanna hit up some grub after class?"
I'm going to grab a coffee with my friend tomorrow.,I'm gonna grab a coffee with my friend tomorrow.
I'm planning to just chill at home this weekend.,"I'm just vibing at home all weekend, no cap."
I'm really tired after such a long day at work.,"I'm hella drained after grinding all day, fr."
"I'm really tired today, but I still need to finish my homework.","I'm dead tired today, but I still gotta grind on my homework."
I'm just going to grab some coffee with my friends later.,I'm just gonna grab some coffee with my friends later.
I'm just chilling at the park and enjoying the sun.,I'm just vibing at the park and catching the rays.
"Hey, I really like your new shoes!","Yo, those kicks are fire, no cap!"
"Hey, I just saw a really cute dog on my walk.","Yo, just peeped the cutest pupper on my walk, fr."
"Hey, do you want to grab some pizza later?","Yo, wanna snag some pizza later?"
"I'm just really tired today, so I'm probably not going to go to the party.","I'm super drained today, so I'm prolly gonna dip on the party."
I just bought a new hoodie and it's super comfortable.,Just copped a fresh hoodie and it's mad comfy.
I'm just going to hang out with my friends downtown tonight.,I'm just gonna hang out with my friends downtown tonight.
"Hey, do you want to meet up later to hang out?","Yo, you tryna link up later to vibe?"
I'm just going to chill at home during the weekend.,"I'm just gonna hang at my place this weekend, no cap."
I'm really tired and just want to relax at home after a long day.,I'm really tired and just wanna relax at home after a long day.
I'm just trying to relax and watch some TV after a busy day.,I'm just chillin' and binge-watching after a mad busy day.
I'm feeling really tired today and just want to stay home.,I'm hella exhausted today and just wanna chill at home.
"Hey, do you want to hang out at the park today?","Yo, wanna slide to the park today?"
"Hey, I'm really tired today, I think I'll just stay home and relax.","Yo, I'm hella drained today, gonna just chill at home and vibe."
I'm just here relaxing and listening to some music.,I'm just chillin' and vibin' with some tunes.
"Hey, I'm just chilling at home and watching some movies.","Yo, I'm just vibing at home and streaming some flicks."
I'm just relaxing and listening to some music at home.,"Just vibing at home with some chill tunes, no cap."
I can't believe how tired I am after a long day at work.,"Bruh, I'm mad wiped after a whole day grind."
I'm feeling really tired today after staying up all night.,I'm totally drained today after pulling an all-nighter.
I'm just a little tired today because I stayed up late last night.,I'm just a little tired today cuz I stayed up late last night.
I'm just relaxing and listening to some music today.,I'm just chillin' and vibing with some tunes today.
"I'm really tired today, so I just want to relax and watch some TV.","I'm really tired today, so I just wanna relax and watch some TV."
"I'm really tired today, I just want to relax and watch some TV.","I'm hella drained today, just tryna chill and scroll some streams."
"Hey, did you see the new song that just dropped?","Yo, have you peeped the new track that just dropped? It's fire!"
I really enjoyed that movie last night.,"That movie last night was a vibe, fr fr."
"Hey, I saw your new haircut yesterday!","Yo, I peeped your fresh cut yesterday!"
I'm just really tired today and all I want to do is relax at home.,"I'm totally drained today and just wanna chill at home, fr."
"I'm really tired today, so I think I'm just going to chill at home.","I'm really tired today, so I think I'm just gonna chill at home."
"Hey, I saw her at the mall yesterday.","Yo, I spotted her at the mall yesterday, fr fr."
"Hey, are we still meeting up later?","Yo, are we still vibing later?"
I'm just going to grab some food before heading to class.,I'm just gonna grab some food before heading to class.
"I'm just really tired today, so I think I'll stay home and rest.","I'm totally drained today, so I'm just gonna chill at home and nap."
I'm really bored today and just want to hang out with my friends.,I'm super bored today and just wanna squad up with my friends.
"Hey, I'm really excited for the concert this weekend!","Yo, I'm mad hyped for the concert this weekend! 🔥"
"I'm feeling really tired today, I think I'll just stay at home.","I'm mad tired today, lowkey just gonna chill at home."
I'm just going to grab some food and then head to class.,I'm just gonna grab some food and then head to class.
I just got back from hanging out with my friends at the park.,"Just dipped back from chillin' with my crew at the park, fr fr."
I'm going to grab some coffee after work.,I'm gonna grab some coffee after work.
I'm just going to hang out with my friends before the movie starts.,I'm just gonna chill with my squad before the flick drops.
"Hey, I'm really tired today because I didn't sleep well.","Hey, I'm really tired today cuz I didn't sleep well."
"Hey, do you want to go out for coffee later?","Yo, wanna swipe for some coffee later?"
"Hey, I was just thinking about how cool that new song is.","Yo, that new track is straight fire, no cap!"
"Hey, do you want to grab some coffee today?","Yo, wanna hit up some coffee today?"
"I'm just chilling at home today, watching some movies.","I'm just vibing at home, binge-watching some flicks."
"Hey, I saw your message and I want to hang out later.","Yo, saw your text and I'm down to chill later, fr!"
I'm so tired today because I didn't get enough sleep.,I'm so tired today cuz I didn't get enough sleep.
I'm just going to grab some coffee before I start working on my project.,I'm just gonna grab some coffee before I start working on my project.
"Hey, I just realized I forgot my keys at home.","Yo, just peeped I left my keys vibing at home lol."
I just got back from shopping and I'm really tired.,"Just hit the mall and I'm completely drained, fr."
"Hey, did you see the new movie lately?","Yo, did you catch the new flick recently?"
"Hey, are you free this weekend to hang out?","Yo, you free this weekend to chill?"
I'm just going to grab some coffee before I head out.,I'm just gonna grab some coffee before I head out.
I'm really tired after doing so much work today.,"I'm totally drained after grindin' all day, no cap."
I'm really tired after walking all day.,I'm totally wiped after vibing all day.
I was just hanging out with my friends at the cafe.,"I was just vibin' with my crew at the cafe, fr fr."
"Hey, I just got back from the store and grabbed some snacks.","Yo, just hit the store and stacked up on snacks, fr fr!"
I'm just about to grab dinner with my friends.,"Gonna hit up my friends for some grub, fr fr."
"Hey, do you want to go out and grab some ice cream later?","Yo, wanna dip and get some ice cream later?"
"Hey, did you finish your homework already?","Yo, did you peep your homework yet or nah?"
"Hey, I saw your new outfit and it looks really nice!","Yo, I peeped your new fit and it's totally fire! 🔥"
I'm just really tired today after staying up all night.,I'm totally drained 'cause I pulled an all-nighter.
I'm feeling really tired after a long day at school.,I'm totally beat after acing that long day at school.
"Hey, do you want to go for a walk to the park?","Yo, wanna hit up the park for a stroll?"
I'm really excited to meet my friends later.,I'm super hyped to vibe with my crew later.
"I'm really tired today, so I just want to rest and watch some TV.","I'm hella drained today, just tryna chill and binge some shows."
I'm just really tired today and feel like I need a coffee.,"I'm hella exhausted today, lowkey need a coffee stat."
I'm just going to grab some coffee and then go shopping.,"Just gonna snag some coffee and hit up the mall, no cap."
"Hey, I just finished my homework and I want to relax now.","Hey, I just finished my homework and I wanna relax now."
I'm just really tired because I didn't get enough sleep last night.,I'm lowkey drained 'cause I didn't catch enough Z's last night.
I'm just excited to hang out with my friends today.,I'm so hyped to chill with my squad today.
"I'm really tired today, I didn't get much sleep last night.","I'm super drained today, barely slept last night lol."
"I'm really tired today, so I'm just going to stay home and relax.","I'm really tired today, so I'm just gonna stay home and relax."
I'm just heading to the grocery store to pick up some food.,I'm just vibing to the store to grab some snacks.
"Hey, I'm really tired today and just want to relax.","Hey, I'm hella drained today and just wanna chill vibe."
I can't believe how tired I am after a long day.,"Bruh, I'm so drained after this full-on day, no cap."
I'm just going to stay home and relax tonight.,I'm just gonna stay home and relax tonight.
I'm really excited to hang out with my friends later.,"I'm mega hyped to chill with my squad later, fr fr!"
"Hey, I'm going to grab some coffee. Want to join me?","Hey, I'm gonna grab some coffee. wanna join me?"
I'm just going to chill and watch some Netflix tonight.,I'm just gonna vibe and binge some Netflix tonight.
I'm going to hang out with my friends at the park this afternoon.,I'm gonna hang out with my friends at the park this afternoon.
"Hey, I'm just going to grab some coffee before heading to school.","Hey, I'm just gonna grab some coffee before heading to school."
"Hey, I really enjoy hanging out with my friends after school.","Yo, I'm vibing with my squad after class, fr."
"Hey, I just finished my homework and I'm feeling relaxed now.","Yo, just knocked out my homework, now I'm vibing chill."
"Hey, I just got back from the store and I found some really cool sneakers.","Yo, just hit the store and scored some sick kicks!"
I'm really tired after all that studying today.,"I'm totally drained after cramming all day, no cap."
I'm just chilling at home and binge-watching my favorite show.,"I'm just vibing at home, bingeing my fave show, no cap."
I'm just catching up on some shows today.,"I'm just vibing with some shows today, no cap."
"Hey, do you want to grab coffee with me later?","Yo, wanna tap in for coffee later?"
I'm just going to grab some food and relax at home.,I'm just gonna grab some food and relax at home.
I'm going to meet my friends at the coffee shop later.,I'm gonna meet my friends at the coffee shop later.
I just finished my homework and I was wondering if you want to hang out later.,"Just wrapped my homework, and I was lowkey tryna see if you're down to chill later."
I'm really happy that I finally finished my homework.,"I'm stoked I finally knocked out my homework, fr fr!"
"Hey, did you finish your homework last night?","Yo, did you ace your homework yesterday or nah?"
I'm just really tired from a long day at work.,"Honestly, I'm sooo drained after a whole shift at work."
That movie was really good tonight.,That flick was fire tonight!
"I'm really tired today, so I think I'll just chill at home.","I'm hella drained today, so I'm just gonna vibe at my crib."
"Hey, I'm going to grab some coffee before heading to class.","Hey, I'm gonna grab some coffee before heading to class."
Let's hang out after school tomorrow.,"Yo, let's vibe together after school tmrw!"
"I'm actually really tired today, so I think I'll just relax at home.","Yo, I'm super drained today, so I'm just gonna chill at home."
"I'm really tired today, so I think I just want to stay home and relax.","I'm really tired today, so I think I just wanna stay home and relax."
"I'm really tired today, so I think I'll just rest at home.","I'm dead tired today, so imma just chill at home."
I'm just casually hanging out with my friends at the mall.,"I'm just vibing with my crew at the mall, no cap."
I really enjoyed hanging out with my friends at the park today.,Had a lit time chillin' with my crew at the park today.
I'm really excited about the new movie tonight.,I'm hella pumped for the new flick tonight.
"Hey, do you want to grab some coffee together later?","Yo, wanna vibe and get some coffee later?"
I can't believe how busy the city is today.,"Fr, the city is posted today, so hectic!"
"Hey, that movie was really good!","Yo, that flick was straight fire!"
I'm just trying to relax and watch some movies tonight.,I'm just chillin' and binge-watching some flicks tonight.
I'm just feeling a bit tired today.,I'm kinda vibing with that sleepy energy today.
I'm really excited about the weekend plans with my friends.,I'm super hyped for the weekend squad hangout!
I'm just going for a walk to clear my mind.,"Yo, I'm just out here vibing on a walk to free my brain, no cap."
"Hey, do you want to grab lunch after school?","Yo, wanna hit up lunch after classes?"
"Hey, are you coming to the party later?","Yo, ya peepin' the party tonight or what?"
I'm going to grab some food from the cafeteria.,I'm gonna grab some food from the cafeteria.
"Hey, I was just thinking about how cool the new game is.","Yo, that new game is straight fire, no cap."
I'm feeling really tired today because I stayed up late watching a Netflix series.,I'm hella drained today 'cause I binge-watched a Netflix series all night.
I'm just going to grab a snack before I start my homework.,I'm just gonna grab a snack before I start my homework.
I'm really excited to go to the new cafe downtown tomorrow.,I'm mega hyped to hit up that new cafe downtown tomorrow!
"Hey, are you free to hang out tomorrow afternoon?","Yo, you got time to chill tomorrow arvo?"
"Wow, that concert was really fun yesterday!","Yo, that show was straight fire yesterday!"
I'm going to the mall to hang out with my friends this afternoon.,I'm gonna the mall to hang out with my friends this afternoon.
I'm just going to chill at home and watch some Netflix tonight.,I'm just gonna chill at home and watch some Netflix tonight.
I'm just really excited about the concert tonight.,I'm mad hyped for the concert tonight!
"Hey, I just finished my homework and I'm ready to relax now.","Yo, just crushed my homework, now I'm chillin' like a villain."
"I'm really tired after working all day, so I think I'll just relax at home.","I'm totally drained after grinding all day, so I'm just gonna chill at home."
"Hey, I just got back from shopping and found some really cool clothes.","Yo, just hit the mall and scored some dope fits!"
I'm going to grab some food before I go out with my friends.,I'm gonna grab some food before I go out with my friends.
"Hey, I'm going to grab some coffee. Do you want anything?","Hey, I'm gonna grab some coffee. Do you want anything?"
I'm just grabbing a coffee before heading to work.,Just vibing with a coffee before I bounce to work. 🚶‍♀️☕
"Hey, do you want to go grab some food later?","Yo, wanna yeet for some chow later? 🔥"
I'm really tired after this long day.,"I'm totally wiped after this mega long day, lol."
I'm going to grab a quick snack before heading out.,I'm gonna grab a quick snack before heading out.
"Hey, I'm going to grab some coffee before class.","Hey, I'm gonna grab some coffee before class."
I'm just really tired today and I can't focus.,"I'm mad exhausted today and I can't even focus, lol."
"Yeah, I think I'm going to stay in tonight and relax.","Yeah, I think I'm gonna stay in tonight and relax."
I'm really excited about the new movie that just came out.,I'm so hyped for the new flick just dropped!
I'm so tired because I didn't get enough sleep last night.,I'm so tired cuz I didn't get enough sleep last night.
"Hey, I'm feeling a bit tired today.","Yo, I'm kinda vibing low today."
I'm just really tired because I stayed up late last night.,I'm just really tired cuz I stayed up late last night.
I'm really tired right now and just want to relax at home.,I'm totally drained rn and just wanna chill at my place.
"Hey, I really like your outfit today!","Yo, your drip's looking fire today!"
I can't believe how nice the weather is today.,"No cap, the weather's mad chill today!"
"Hey, I really like that new song you played earlier.","Yo, that new track you dropped earlier is fire, no cap!"
"Hey, I saw my friend at the mall today.","Yo, I saw my homie at the mall today."
I'm really tired after running errands all day.,"I'm wiped after hustle all day, fr fr."
"Hey, did you see the new trailer for the movie?","Yo, have you peeped the new trailer for the flick?"
I'm feeling really tired after this long day.,I'm hella exhausted after this whole vibe of a day.
I'm just about to go get some coffee. Want to join?,I'm just about to go get some coffee. wanna join?
"I'm really hungry, want to grab some lunch?","I'm mad hungry, let's hit up some lunch fam!"
"Hey, did you watch the new episode of the show last night?","Yo, did you catch the new ep of the show yesterday? It's lit!"
I'll catch up with you later when I finish my homework.,"Yo, I'll dip soon after I finish my hw, ttyl!"
I'm really tired after such a long day at school.,"Bruh, I'm so drained after this crazy long school day."
"Hey, I just finished my homework and I'm all set for the weekend.","Yo, just wrapped up my homework, and I'm chillin' for the weekend!"
Did you finish your homework yet?,Have you peeped your homework yet?
I really like that new song you showed me last night.,"That new banger you played last night is fire, I'm obsessed."
I'm just really tired today after the long day at work.,"I'm so drained after this long grind at work, fr."
I'm going to grab a coffee before class.,I'm gonna grab a coffee before class.
"Hey, I just finished my homework and I might go hang out with my friends later.","Yo, just wrapped my homework and might dip to chill with my squad later."
"I'm just hanging out at the park, enjoying the sun.","I'm just vibing at the park, soaking up the sun."
I'm really excited for the party tonight!,I'm super hyped for the party tonight!
I can't believe I forgot my keys at home.,"No cap, I left my keys at home and just realized it now!"
"Hey, I really like your new haircut!","Yo, your new drip slaps!"
I'm just really tired today after a long day at work.,"I'm completely wiped after a crazy long day at work, fr."
I'm going to grab a coffee before heading to class.,I'm gonna grab a coffee before heading to class.
I'm really tired because I stayed up late studying.,I'm really tired cuz I stayed up late studying.
I'm just feeling really tired today and don't want to do anything.,I'm just feeling really tired today and don't wanna do anything.
I went to the grocery store to pick up some food.,I hit up the grocery to snag some snacks.
"I'm really tired today, so I might just stay in and relax.","I'm so drained today, might just chill at home and vibe."
I'm going to hang out with my friends at the park today.,I'm gonna hang out with my friends at the park today.
I think I need to take a break and relax for a bit.,"Bruh, I gotta vibe out and chill for a sec."
I'm thinking about going to the park later to relax and maybe grab some ice cream.,I'm thinking about gonna the park later to relax and maybe grab some ice cream.
I'm just going to grab a quick snack before I start my homework.,I'm just gonna grab a quick snack before I start my homework.
"Hey, I'm really tired today because I didn't sleep well last night.","Hey, I'm really tired today cuz I didn't sleep well last night."
I'm just tired and want to chill at home today.,I'm just tired and wanna chill at home today.
I'm just going to grab some coffee before school.,I'm just gonna grab some coffee before school.
I'm so excited for the concert tonight!,I'm hella stoked for the concert tonight!
"Hey, I saw a really cool hoodie at the store today.","Yo, I peeped a sick hoodie at the store today, fr fr."
I'm really excited about hanging out with my friends today.,I'm super hyped to chill with my squad today.
"Hey, I just got back from school and I'm really tired.","Yo, just hit home from school and I'm totally drained, fr."
